Open,High,Low,Close,Volume
1.10833,1.10833,1.10828,1.10828,0.0
1.10828,1.10836,1.10828,1.10834,0.0
1.10834,1.10839,1.10834,1.10839,0.0
1.10839,1.10839,1.10836,1.10838,0.0
1.10836,1.10837,1.10832,1.10834,0.0
1.10834,1.10838,1.10834,1.10838,0.0
1.10835,1.10835,1.10832,1.10833,0.0
1.10833,1.10836,1.10822,1.10827,0.0
1.10828,1.10829,1.1082,1.10824,0.0
1.10823,1.10843,1.10823,1.10831,0.0
1.10832,1.10843,1.10831,1.10841,0.0
1.10841,1.10845,1.10819,1.1082,0.0
1.10819,1.10837,1.10818,1.10836,0.0
1.10835,1.10835,1.10828,1.10828,0.0
1.10829,1.10831,1.1082,1.10821,0.0
1.10822,1.10827,1.10822,1.10822,0.0
1.10823,1.10833,1.10823,1.10832,0.0
1.10832,1.10837,1.10826,1.10831,0.0
1.10831,1.10832,1.10827,1.10828,0.0
1.10828,1.1083,1.10821,1.10822,0.0
1.10821,1.10821,1.10801,1.10801,0.0
1.10804,1.10806,1.10791,1.10793,0.0
1.10794,1.10795,1.10776,1.10784,0.0
1.10785,1.10787,1.10774,1.10776,0.0
1.10777,1.10789,1.10776,1.10783,0.0
1.10782,1.10785,1.10778,1.10785,0.0
1.10785,1.1079,1.10784,1.10788,0.0
1.10788,1.1079,1.10774,1.10774,0.0
1.10777,1.10782,1.10767,1.10768,0.0
1.10769,1.10782,1.10766,1.1078,0.0
1.1078,1.10791,1.10778,1.10787,0.0
1.10788,1.10793,1.10777,1.10777,0.0
1.10778,1.10787,1.10768,1.1077,0.0
1.1077,1.10778,1.10765,1.10765,0.0
1.10766,1.10774,1.10762,1.10772,0.0
1.10771,1.10774,1.10763,1.10768,0.0
1.10769,1.10769,1.10757,1.10757,0.0
1.10758,1.10764,1.10756,1.10763,0.0
1.10763,1.10766,1.10746,1.10749,0.0
1.1075,1.1076,1.10744,1.10745,0.0
1.10745,1.10747,1.10733,1.10733,0.0
1.10732,1.10746,1.10732,1.10739,0.0
1.1074,1.10745,1.10733,1.10734,0.0
1.10733,1.10736,1.10729,1.10729,0.0
1.10731,1.10733,1.10724,1.10728,0.0
1.10729,1.10729,1.10717,1.10724,0.0
1.10725,1.10728,1.10718,1.10721,0.0
1.1072,1.1073,1.10714,1.10729,0.0
1.1073,1.10731,1.10721,1.10724,0.0
1.10725,1.10737,1.10725,1.10727,0.0
1.10726,1.10727,1.10705,1.10706,0.0
